word,pos,ipa,meaning
agreement,n,/əˈɡriː.mənt/,"sự thỏa thuận, hợp đồng"
"assurance (n, v)",,/əˈʃʊr.əns/,sự đảm bảo (n) đảm bảo (v)
abide by,v,/əˈbaɪd baɪ/,"tuân thủ, tuân theo"
according to,prep,/əˈkɔːr.dɪŋ ˌtuː/,"theo như, dựa vào"
additional,adj,/əˈdɪʃ.ən.əl/,"thêm vào, phụ thêm"
adjust,v,/əˈdʒʌst/,điều chỉnh
annual,adj,/ˈæn.ju.əl/,hằng năm
area,n,/ˈer.i.ə/,"khu vực, lĩnh vực, diện tích"
assess,v,/əˈses/,"đánh giá, định giá"
cancellation,n,/ˌkæn.səlˈeɪ.ʃən/,"sự hủy bỏ, chấm dứt"
determine,v,/dɪˈtɜːrmɪn/,xác định
engage,v,/ɪnˈɡeɪdʒ/,tham dự
establish,v,/ɪˈstæblɪʃ/,"thành lập, thiết lập"
obligate,v,/ˈɑːblɪɡeɪt/,bắt buộc
party,n,/ˈpɑːrti/,các bên tham gia hợp đồng
provision,n,/prəˈvɪʒ.ən/,"sự cung cấp, chu cấpđiều khoản"
resolve,v,/rɪˈzɔːlv/,"giải quyết, quyết định"
specific,adj,/spəˈsɪf.ɪk/,cụ thể
attract,v,/əˈtrækt/,"thu hút, hấp dẫn"
awareness,n,/əˈwer.nəs/,"sự nhận thức, độ nhận diện"
beneficial,adj,/ˌben.əˈfɪʃ.əl/,"có ích, có lợi"
"boost (v, n)",,/buːst/,"đẩy mạnh, kích thích (v) sự tăng lên (n)"
bottom line,n,/ˌbɑː.t̬əm ˈlaɪn/,"điểm mấu chốt, cốt yếu"
briefing,n,/ˈbriː.fɪŋ/,"sự chỉ dẫn, hướng dẫn"
budget,n,/ˈbʌdʒ.ɪt/,ngân sách
currently,adv,/ˈkɝː.ənt.li/,"hiện thời, hiện nay"
convince,v,/kənˈvɪns/,thuyết phục
consume,v,/kən’sju:m/,"tiêu thụ, sử dụng"
competition,n,/ˌkɑːm.pəˈtɪʃ.ən/,"sự cạnh tranh, cuộc thi"
compare,v,/kəmˈper/,"so sánh, đối chiếu"
fad,n,/fæd/,mốt nhất thời
inspiration,n,/ˌɪn.spəˈreɪ.ʃən/,nguồn cảm hứng
market,n,/ˈmɑːrkɪt/,thị trường
productive,adj,/prəˈdʌk.tɪv/,năng suất
persuasion,n,/pɚˈsweɪ.ʒən/,sự thuyết phục
satisfaction,n,/ˌsæt̬.ɪsˈfæk.ʃən/,sự hài lòng
